eps,min_samples,silhouette,davies_bouldin,calinski_harabasz,coverage,total_clusters,cluster_sizes
0.1,5,-0.9255894422531128,1.2818768465745833,4162.970009436532,0.9968513534101874,59,"[15801, 40560, 21, 13, 48, 27, 9, 24, 14, 27, 14, 14, 41, 8, 1154, 9, 25, 27, 218, 7, 16, 27, 12, 25, 100, 30, 57, 18, 11, 8, 26, 10, 20, 7, 8, 11, 80, 112, 31, 5, 6, 28, 5, 7, 40, 12, 3, 13, 11, 18, 14, 6, 4, 5, 9, 9, 9, 7, 6]"
0.1,10,-0.9186599254608154,2.330913636944691,3855.0154645199027,0.9866097878895603,63,"[15173, 39908, 11, 40, 45, 15, 11, 17, 14, 12, 27, 14, 13, 41, 18, 123, 29, 1102, 15, 10, 27, 139, 218, 8, 16, 26, 26, 12, 25, 100, 28, 57, 18, 11, 26, 10, 20, 60, 26, 11, 57, 80, 62, 108, 78, 31, 59, 29, 26, 19, 24, 17, 40, 14, 13, 11, 19, 17, 9, 14, 8, 25, 20]"
0.1,20,-0.8800843358039856,1.389039810779204,3390.118167643656,0.9402434276234489,64,"[11396, 1136, 37646, 334, 222, 30, 50, 61, 86, 48, 76, 20, 182, 424, 27, 127, 22, 415, 41, 87, 123, 55, 98, 736, 27, 209, 89, 26, 39, 41, 25, 99, 57, 17, 26, 25, 58, 18, 146, 143, 56, 20, 79, 41, 90, 84, 69, 36, 55, 49, 31, 30, 27, 43, 27, 52, 64, 26, 20, 30, 40, 49, 24, 14]"
0.1,50,-0.7634226083755493,1.414224206877161,1472.7742022652633,0.6290860460785808,75,"[4486, 723, 2402, 195, 222, 720, 347, 645, 106, 8415, 73, 126, 1353, 63, 284, 2711, 4644, 1456, 176, 107, 81, 78, 46, 68, 67, 401, 487, 81, 166, 57, 87, 61, 578, 172, 503, 135, 54, 136, 755, 249, 72, 79, 124, 470, 518, 94, 154, 74, 118, 124, 204, 71, 122, 185, 90, 64, 124, 116, 74, 70, 67, 85, 24, 31, 27, 70, 51, 27, 39, 50, 44, 39, 65, 29, 51]"
0.1,100,-0.8161048889160156,0.9625212960395663,632.1087605729581,0.12056269361637297,26,"[1033, 162, 179, 478, 335, 240, 258, 813, 278, 185, 160, 244, 133, 221, 221, 417, 201, 414, 133, 199, 115, 121, 175, 164, 132, 111]"
0.1,200,-1.0,inf,-inf,0.0,0,[]
0.1,500,-1.0,inf,-inf,0.0,0,[]
0.3,5,-0.6095436215400696,1.4300755705300032,17730.126841759222,0.9999492153775836,12,"[16218, 42440, 62, 56, 221, 18, 12, 8, 10, 7, 9, 9]"
0.3,10,-0.8231943249702454,3.6303628638251997,21229.740441043155,0.999390584531004,10,"[16218, 42397, 62, 56, 221, 18, 12, 28, 10, 15]"
0.3,20,-0.7509464025497437,1.7400354879115176,26468.104151275744,0.9983748920826774,8,"[16214, 42281, 62, 56, 221, 112, 28, 3]"
