min_cluster_size,min_samples,cluster_selection_method,metric,algorithm,alpha,silhouette,davies_bouldin,calinski_harabasz,validity_index,coverage,total_clusters,cluster_sizes
5,1,eom,euclidean,best,0.5,0.12908383,1.517747010566667,44.15600865682751,0.15692974528313475,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,1,eom,euclidean,best,2.0,0.12908383,1.517747010566667,44.15600865682751,0.15692974528313475,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,1,eom,manhattan,best,0.5,0.13039976,1.5431068309480807,45.45234824139653,0.1561085995384452,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,1,eom,manhattan,best,2.0,0.13039976,1.5431068309480807,45.45234824139653,0.1561085995384452,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,2,eom,euclidean,best,0.5,0.049701344,1.5289511773479443,39.02406938037312,0.16763286521941473,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,2,eom,euclidean,best,2.0,0.049701344,1.5289511773479443,39.02406938037312,0.16763286521941473,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,2,eom,manhattan,best,0.5,0.046729617,1.5471742384210967,37.7514859849466,0.16728420219968973,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,2,eom,manhattan,best,2.0,0.046729617,1.5471742384210967,37.7514859849466,0.16728420219968973,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,5,eom,euclidean,best,0.5,-0.19247796,1.5476179175801068,33.88004339026047,0.18652534653328806,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,5,eom,euclidean,best,2.0,-0.19247796,1.5476179175801068,33.88004339026047,0.18652534653328806,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,5,eom,manhattan,best,0.5,-0.20508784,1.5441151592766926,33.90604830733687,0.17238560571270173,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,5,eom,manhattan,best,2.0,-0.20508784,1.5441151592766926,33.90604830733687,0.17238560571270173,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,10,eom,euclidean,best,0.5,-0.30976322,2.053980931200829,86.00366883836799,0.15323713179458637,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,10,eom,euclidean,best,2.0,-0.30976322,2.053980931200829,86.00366883836799,0.15323713179458637,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,10,eom,manhattan,best,0.5,-0.22566915,2.1008625442487316,1482.9505008750314,0.10905761409322116,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,10,eom,manhattan,best,2.0,-0.22566915,2.1008625442487316,1482.9505008750314,0.10905761409322116,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
5,20,eom,euclidean,best,0.5,-0.052286617,1.845332092587436,3049.665210960867,0.19558106194377203,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
